l_english:
 FOUNDER_BASED_NAME_POSTFIX:0 "id"
 ############################################################
 # Prefixes
 ############################################################

 ############################################################
 # Names
 ############################################################
 dynn_Shida:0 "志田"
 dynn_Obu:0 "飫富"
 dynn_Shingu:0 "新宮"
 dynn_Tada:0 "多田"
 dynn_Ike:0 "池"
 dynn_Komatsu:0 "小松"
 dynn_Sugimoto:0 "杉本"
 dynn_Wada:0 "和田"
 dynn_Oba:0 "大庭"
 dynn_Nagao:0 "長尾"
 dynn_Kajiwara:0 "梶原"
 dynn_Kagawa:0 "香川"
 dynn_Nagae:0 "長江"
 dynn_Toyota:0 "豊田"
 dynn_Matano:0 "俣野"
 dynn_Dohi:0 "土肥"
 dynn_Ninomiya:0 "二宮"
 dynn_Sanada:0 "佐奈田"
 dynn_Tuchiya:0 "土屋"
 dynn_Kawamura:0 "河村"
 dynn_Yasuda:0 "安田"
 dynn_Henmi:0 "逸見"
 dynn_Takeda:0 "武田"
 dynn_Kagami:0 "加賀美"
 dynn_Asari:0 "浅利"
 dynn_Ichijo:0 "一条"
 dynn_Itagaki:0 "板垣"
 dynn_Akiyama:0 "秋山"
 dynn_Nitta:0 "新田"
 dynn_Satomi:0 "里見"
 dynn_Yamana:0 "山名"
 dynn_Ashikaga:0 "足利"
 dynn_Sonoda:0 "薗田"
 dynn_Ogo:0 "大胡"
 dynn_Yamagami:0 "山上"
 dynn_Sano:0 "佐野"
 dynn_Asonuma:0 "阿曾沼"
 dynn_Kimura:0 "木村"
 dynn_Hayashi:0 "林"
 dynn_Sanuki:0 "佐貫"
 dynn_Nawa:0 "那波"
 dynn_Ota:0 "大田"
 dynn_Oyama:0 "小山"
 dynn_Shimokobe:0 "下河辺"
 dynn_Naganuma:0 "長沼"
 dynn_Yuki:0 "結城"
 dynn_Okawado:0 "大河戸"
 dynn_Seki:0 "関"
 dynn_Sato:0 "佐藤"
 dynn_Bito:0 "尾藤"
 dynn_Ito:0 "伊藤"
 dynn_Tomura:0 "戸村"
 dynn_Okuyama:0 "奥山"
 dynn_Ajiki:0 "安食"
 dynn_Akamatsu:0 "赤松"
 dynn_Harada:0 "原田"
 dynn_Mike:0 "美気"
 dynn_Akizuki:0 "秋月"
 dynn_Takahashi:0 "高橋"
